City_ID,City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
344,lethem,3.3803,-59.7968,GY,7/30/2021,84.06,68,86,6.6
345,nuuk,64.1835,-51.7216,GL,7/30/2021,65.01,36,75,5.75
346,paamiut,61.994,-49.6678,GL,7/30/2021,43.72,85,100,11.3
347,kpandae,8.4689,-0.0113,GH,7/30/2021,80.94,70,100,5.86
348,baherden,38.4362,57.4316,TM,7/30/2021,90.34,16,63,5.57
349,palmer,42.1584,-72.3287,US,7/30/2021,80.94,54,9,3
350,roma,43.2128,-75.4557,US,7/30/2021,70.09,61,75,1.99
351,salalah,17.0151,54.0924,OM,7/30/2021,76.91,90,97,9.75
352,cockburn town,21.4612,-71.1419,TC,7/30/2021,82.81,78,2,17.67
353,lodja,-3.4833,23.4333,CD,7/30/2021,88.93,26,41,1.57
354,kahului,20.8947,-156.47,US,7/30/2021,73.69,92,25,10.85
355,tashtyp,52.7939,89.8983,RU,7/30/2021,56.61,94,100,4.14
356,okha,53.5739,142.9478,RU,7/30/2021,51.87,86,100,16.6
357,maldonado,-34.6667,-54.9167,UY,7/30/2021,57.22,49,0,9.6
358,skibbereen,51.55,-9.2667,IE,7/30/2021,64.2,69,85,19.08
359,ardu,59.0986,25.3541,EE,7/30/2021,60.39,93,99,12.62
360,ormara,25.2088,64.6357,PK,7/30/2021,81.77,85,94,14.07
361,turangi,-39,175.9333,NZ,7/30/2021,38.84,97,85,3.53
362,nabire,-3.3667,135.4833,ID,7/30/2021,75.76,91,97,3.06
363,tuatapere,-46.1333,167.6833,NZ,7/30/2021,46.81,97,100,4.25
364,rorvik,64.8621,11.2373,NO,7/30/2021,55.38,76,75,4.61
365,chapais,49.7834,-74.8492,CA,7/30/2021,47.98,96,100,10.96
366,dickson,36.077,-87.3878,US,7/30/2021,93.52,67,20,1.01
367,namibe,-15.1961,12.1522,AO,7/30/2021,69.3,84,17,7.16
368,lucapa,-8.4192,20.7447,AO,7/30/2021,79.2,23,0,2.8
369,klenovyy,48.1193,39.4588,UA,7/30/2021,77.2,52,37,3.18
370,kruisfontein,-34.0033,24.7314,ZA,7/30/2021,54.88,76,68,2.26
371,chaykovskiy,56.7686,54.1148,RU,7/30/2021,64.63,87,4,4.05
372,hithadhoo,-0.6,73.0833,MV,7/30/2021,82.27,73,38,6.29
373,buala,-8.145,159.5921,SB,7/30/2021,78.82,83,43,3.06
374,usinsk,65.9939,57.5281,RU,7/30/2021,51.96,73,98,6.17
375,rawson,-43.3002,-65.1023,AR,7/30/2021,55.72,30,100,23.76
376,xai-xai,-25.0519,33.6442,MZ,7/30/2021,67.86,72,79,11.34
377,eyl,7.9803,49.8164,SO,7/30/2021,77.58,75,100,24.76
378,nishihara,26.1842,127.7558,JP,7/30/2021,81.68,89,20,6.91
379,dalmatovo,56.26,62.9362,RU,7/30/2021,60.66,96,86,11.14
380,vilhena,-12.7406,-60.1458,BR,7/30/2021,75.42,29,0,8.05
381,takanabe,32.1333,131.5,JP,7/30/2021,76.41,84,100,5.06
382,varhaug,58.6147,5.6457,NO,7/30/2021,63.95,82,92,16.42
383,elk grove,38.4088,-121.3716,US,7/30/2021,100.36,30,31,5.79
384,biak,-0.9131,122.8766,ID,7/30/2021,75.4,87,70,5.44
385,zhoucheng,35.9122,116.3117,CN,7/30/2021,73.72,95,0,5.28
386,vardo,70.3705,31.1107,NO,7/30/2021,50.2,81,0,11.5
387,grand gaube,-20.0064,57.6608,MU,7/30/2021,71.38,69,2,5.99
388,bangassou,4.7413,22.8184,CF,7/30/2021,74.91,77,100,2.59
389,pontianak,-0.0333,109.3333,ID,7/30/2021,78.78,100,90,2.3
390,siimusti,58.7277,26.3437,EE,7/30/2021,58.89,90,80,12.59
391,kugulta,45.3636,42.3889,RU,7/30/2021,82.98,43,1,6.78
392,gavrilov posad,56.5597,40.1175,RU,7/30/2021,67.41,84,94,4.03
393,coos bay,43.3665,-124.2179,US,7/30/2021,59.23,100,90,3.44
394,ambatofinandrahana,-20.55,46.8,MG,7/30/2021,56.52,80,71,4.56
395,manggar,-2.8833,108.2667,ID,7/30/2021,81.25,75,73,9.24
396,xam nua,20.4197,104.0439,LA,7/30/2021,68.5,97,100,3.31
397,kudahuvadhoo,2.6708,72.8944,MV,7/30/2021,82.62,70,100,3.74
398,alta floresta,-9.8756,-56.0861,BR,7/30/2021,91.92,15,0,5.28
399,asau,46.4333,26.4,RO,7/30/2021,81.52,70,39,2.01
400,zacatepec,18.65,-99.2,MX,7/30/2021,79.65,63,87,2.15
401,kontagora,10.3999,5.4695,NG,7/30/2021,71.82,96,100,5.14
402,muisne,0.6,-80.0333,EC,7/30/2021,78.98,74,100,5.64
403,linxia,35.6003,103.2064,CN,7/30/2021,65.95,41,1,6.22
404,padang,-0.9492,100.3543,ID,7/30/2021,77.05,85,46,3.42
405,ilheus,-14.7889,-39.0494,BR,7/30/2021,71.91,86,99,12.71
406,maragogi,-9.0122,-35.2225,BR,7/30/2021,78.8,74,42,11.32
